dataset,column,dtype_after_preparation,row_count,non_null_count,missing_count,missing_pct
sold,Flooring,str,447990,287297,160693,35.869774
sold,ViewYN,object,447990,409565,38425,8.5772
sold,WaterfrontYN,object,447990,287,447703,99.935936
sold,BasementYN,object,447990,8782,439208,98.039688
sold,PoolPrivateYN,object,447990,409739,38251,8.53836
sold,OriginalListPrice,float64,447990,447169,821,0.183263
sold,ListingKey,int64,447990,447990,0,0.0
sold,ListAgentEmail,str,447990,412989,35001,7.812898
sold,CloseDate,datetime64[us],447990,447990,0,0.0
sold,ClosePrice,float64,447990,447988,2,0.000446
sold,ListAgentFirstName,str,447990,444668,3322,0.741534
sold,ListAgentLastName,str,447990,447948,42,0.009375
sold,Latitude,float64,447990,443614,4376,0.976808
sold,Longitude,float64,447990,443614,4376,0.976808
sold,UnparsedAddress,str,447990,447549,441,0.09844
sold,PropertyType,str,447990,447990,0,0.0
sold,LivingArea,float64,447990,447737,253,0.056474
sold,ListPrice,float64,447990,447990,0,0.0
sold,DaysOnMarket,int64,447990,447990,0,0.0
sold,ListOfficeName,str,447990,447990,0,0.0
sold,BuyerOfficeName,str,447990,440837,7153,1.596687
sold,CoListOfficeName,str,447990,105976,342014,76.344115
sold,ListAgentFullName,str,447990,447894,96,0.021429
sold,CoListAgentFirstName,str,447990,102844,345146,77.043238
sold,CoListAgentLastName,str,447990,103113,344877,76.983192
sold,BuyerAgentMlsId,str,447990,447403,587,0.13103
sold,BuyerAgentFirstName,str,447990,445863,2127,0.474787
sold,BuyerAgentLastName,str,447990,447795,195,0.043528
sold,FireplacesTotal,float64,447990,0,447990,100.0
sold,AssociationFeeFrequency,str,447990,186551,261439,58.358222
sold,AboveGradeFinishedArea,float64,447990,0,447990,100.0
sold,ListingKeyNumeric,int64,447990,447990,0,0.0
sold,MLSAreaMajor,str,447990,387665,60325,13.465702
sold,TaxAnnualAmount,float64,447990,0,447990,100.0
sold,CountyOrParish,str,447990,447990,0,0.0
sold,MlsStatus,str,447990,447990,0,0.0
sold,ElementarySchool,str,447990,59523,388467,86.713319
sold,AttachedGarageYN,object,447990,379534,68456,15.280698
sold,ParkingTotal,float64,447990,447560,430,0.095984
sold,BuilderName,str,447990,21935,426055,95.103685
sold,PropertySubType,str,447990,447129,861,0.192192
sold,LotSizeAcres,float64,447990,413249,34741,7.754861
sold,SubdivisionName,str,447990,166921,281069,62.740017
sold,BuyerOfficeAOR,str,447990,420762,27228,6.077814
sold,YearBuilt,float64,447990,447590,400,0.089288
sold,BuyerAgencyCompensationType,float64 | str,447990,57328,390662,87.203286
sold,StreetNumberNumeric,float64,447990,447449,541,0.120762
sold,ListingId,str,447990,447990,0,0.0
sold,BathroomsTotalInteger,float64,447990,447920,70,0.015625
sold,City,str,447990,447673,317,0.070761
sold,BuyerAgencyCompensation,float64,447990,57315,390675,87.206188
sold,TaxYear,float64,447990,0,447990,100.0
sold,BuildingAreaTotal,float64,447990,31446,416544,92.980647
sold,BedroomsTotal,float64,447990,447978,12,0.002679
sold,ContractStatusChangeDate,datetime64[us],447990,447396,594,0.132592
sold,ElementarySchoolDistrict,float64,447990,0,447990,100.0
sold,CoBuyerAgentFirstName,str,447990,41039,406951,90.839304
sold,PurchaseContractDate,datetime64[us],447990,447793,197,0.043974
sold,ListingContractDate,datetime64[us],447990,447989,1,0.000223
sold,BelowGradeFinishedArea,float64,447990,2656,445334,99.40713
sold,BusinessType,float64,447990,0,447990,100.0
sold,StateOrProvince,str,447990,447989,1,0.000223
