CountyOrParish,transaction_count,total_sales_volume,median_close_price,median_price_per_sqft,average_days_on_market,median_days_on_market,average_price_ratio,average_original_price_ratio,average_listing_to_contract_days,average_contract_to_close_days,transaction_share_pct,sales_volume_share_pct,transaction_count_rank,sales_volume_rank
Los Angeles,110975,147030756115.93,905000.0,609.1,36.56,19.0,1.0269,101.5551,44.91,34.02,24.80470278,27.56531654,1,1
San Diego,55526,81890421023.08,900000.0,590.83,29.48,15.0,1.4114,1.4236,38.43,29.41,12.41095676,15.35281078,3,2
Orange,50344,77666452991.23,1180000.0,674.14,31.36,14.0,1.0411,73.6858,43.0,31.09,11.25269616,14.56090152,4,3
Riverside,62008,44627989422.21,600000.0,321.08,48.51,30.0,1.0069,85.8857,59.81,32.4,13.85978833,8.36685254,2,4
Santa Clara,19650,37828078646.0,1600000.0,965.82,21.95,10.0,1.0468,1.0394,22.08,26.59,4.392092,7.09200571,8,5
Alameda,21197,27823631976.0,1140000.0,700.86,25.72,14.0,1.1182,1.2285,26.69,25.57,4.73787146,5.2163727,6,6
San Bernardino,41496,24825090312.02,532506.0,332.03,46.14,24.0,1.0222,53.3092,55.29,36.83,9.27502542,4.65420631,5,7
Contra Costa,20460,23202920619.0,825000.0,521.96,28.53,14.0,1.0692,1.0559,29.84,25.98,4.57314007,4.35008204,7,8
San Mateo,7798,17120478127.0,1700000.0,1052.63,27.97,12.0,1.0433,2.6374,27.67,29.08,1.7429788,3.20974612,10,9
Ventura,14008,15095962371.69,870000.0,516.82,43.04,28.0,0.9958,1.4387,52.21,25.51,3.13101398,2.83019004,9,10
San Luis Obispo,6513,6711537273.39,875000.0,535.05,43.03,17.0,1.1439,1.4163,55.93,34.38,1.45576057,1.25827857,11,11
Monterey,4296,6018707817.0,905000.0,592.93,45.61,19.0,0.9857,0.9645,47.73,31.27,0.9602253,1.12838695,13,12
Santa Cruz,3254,4392478151.0,1195000.0,734.78,38.01,18.0,0.9966,0.9743,37.96,27.08,0.72732149,0.82350152,15,13
Santa Barbara,2233,3452863253.45,720000.0,425.76,39.64,15.0,0.9962,1.032,47.83,32.88,0.49911152,0.64734258,17,14
Kern,3946,2454231244.19,370000.0,229.04,47.74,27.0,1.0046,1.6931,54.85,36.21,0.88199466,0.46011911,14,15
Butte,4525,1965557699.38,400000.0,267.71,52.5,23.0,0.9903,1.4225,60.46,34.56,1.0114105,0.36850263,12,16
San Francisco,1023,1365093024.0,1200000.0,895.24,40.38,16.0,1.0571,1.0401,40.86,26.6,0.228657,0.25592755,23,17
San Joaquin,1881,1258890244.0,640000.0,316.09,40.56,23.0,0.9959,1.5651,43.08,35.42,0.42043384,0.23601666,19,18
Merced,2790,1228250206.22,415000.0,258.03,43.35,24.0,0.9871,2.1312,50.57,33.34,0.62361001,0.23027227,16,19
Solano,1666,982232177.0,565000.0,338.98,39.21,21.0,1.0047,0.996,42.4,30.32,0.37237788,0.18414882,20,20
San Benito,896,754756274.0,779000.0,410.91,46.21,29.0,0.9923,0.9774,49.72,35.03,0.20027045,0.14150166,25,21
Fresno,1481,716315032.4,415000.0,254.44,41.85,23.0,0.9842,2.3837,50.26,32.89,0.33102739,0.1342947,21,22
Lake,1934,656924868.41,310000.0,213.31,84.86,53.0,0.9588,0.9224,91.82,35.48,0.4322802,0.12316023,18,23
Madera,1329,630626387.0,425000.0,245.52,64.18,37.0,0.9837,1.7566,71.99,36.27,0.29705294,0.11822979,22,24
Sacramento,949,483232541.0,473000.0,313.32,32.31,18.0,1.0032,0.9893,35.5,27.61,0.21211681,0.09059641,24,25
Other County,5,381290000.0,1100000.0,302.26,53.8,24.0,231.54,231.54,54.2,29.8,0.00111758,0.07148422,57,26
Mendocino,472,368038641.0,635000.0,420.97,91.03,51.5,0.9598,0.9168,110.07,36.98,0.10549961,0.06899986,27,27
Stanislaus,677,332624124.0,470000.0,287.71,36.98,19.0,0.9997,0.9951,43.92,30.44,0.15132042,0.06236035,26,28
Marin,156,212351808.0,1172500.0,693.76,48.47,21.0,1.0014,0.975,50.88,28.34,0.03486852,0.0398117,38,29
Mariposa,400,189642584.0,405000.0,249.74,76.2,39.0,0.9682,0.9314,85.71,41.88,0.08940645,0.03555418,29,30
Tulare,397,175196571.0,390000.0,232.89,43.25,25.0,0.9875,12.6964,51.58,33.65,0.0887359,0.03284584,30,31
Placer,216,158120338.0,640500.0,325.37,34.84,21.0,0.9886,0.9669,38.63,27.04,0.04827948,0.02964439,34,32
Tehama,429,153426635.0,326000.0,229.68,69.23,36.0,0.9719,0.9428,78.14,40.26,0.09588842,0.02876442,28,33
Sonoma,171,152544047.0,735200.0,480.16,46.97,29.0,0.991,0.9686,51.56,27.29,0.03822126,0.02859895,36,34
Glenn,386,141080626.0,350000.0,243.75,49.06,23.0,0.9814,3.2401,58.08,33.78,0.08627723,0.02644979,31,35
Napa,130,139753186.0,857500.0,472.86,58.32,34.5,0.9916,0.97,62.94,36.5,0.0290571,0.02620092,39,36
Imperial,314,96989297.0,306000.0,211.02,54.76,39.0,0.9843,0.9651,71.51,29.24,0.07018407,0.01818355,32,37
Kings,256,96510577.0,355000.0,233.55,39.13,18.0,1.0333,4.9201,46.08,32.75,0.05722013,0.0180938,33,38
Tuolumne,199,93453205.0,394750.0,255.54,80.26,34.0,0.9784,0.9458,79.98,34.32,0.04447971,0.0175206,35,39
El Dorado,90,72316265.0,689750.0,360.5,71.24,37.0,0.985,0.9487,74.52,28.69,0.02011645,0.01355785,43,40
Yuba,167,70326347.0,412000.0,247.47,67.36,33.0,0.9874,0.9498,80.96,34.21,0.03732719,0.01318478,37,41
Calaveras,111,60589716.0,475000.0,270.86,63.15,43.0,0.966,0.9273,68.61,31.04,0.02481029,0.01135936,40,42
Yolo,90,56125892.0,607500.0,329.98,39.12,19.5,0.9992,0.9821,41.84,34.64,0.02011645,0.01052248,43,43
Sutter,102,43165850.0,419500.0,257.51,38.15,24.0,0.9916,17.4049,60.46,27.95,0.02279865,0.00809273,42,44
Shasta,105,39572870.0,366000.0,231.47,77.99,40.0,0.9695,0.9308,85.71,39.96,0.02346919,0.00741912,41,45
Nevada,53,33031126.0,515000.0,306.06,49.75,30.0,0.9793,0.9274,57.23,30.83,0.01184636,0.00619267,46,46
Siskiyou,61,25622649.0,351750.0,197.87,119.57,56.0,0.9676,0.923,125.52,36.49,0.01363448,0.00480373,45,47
Plumas,45,23094701.0,395000.0,251.14,74.6,60.0,0.9491,0.9132,78.51,46.2,0.01005823,0.00432979,47,48
Trinity,41,15839370.0,350000.0,181.89,126.83,136.0,0.9393,0.9011,127.32,40.66,0.00916416,0.00296956,48,49
Mono,15,15489000.0,915000.0,603.94,82.07,63.0,0.9656,0.928,87.27,28.87,0.00335274,0.00290388,53,50
Amador,27,11817136.0,425000.0,229.17,119.41,78.0,0.9598,0.887,122.48,32.69,0.00603494,0.00221548,50,51
Colusa,28,11238400.0,402500.0,215.85,50.5,9.5,0.955,0.9243,54.96,31.32,0.00625845,0.00210697,49,52
Other,10,10256246.0,584500.0,291.01,130.5,143.5,0.9801,0.9146,141.4,23.7,0.00223516,0.00192284,55,53
Other State,16,7074950.0,421875.0,209.09,77.88,43.0,0.8969,0.885,97.69,22.81,0.00357626,0.00132641,52,54
Humboldt,13,6390500.0,475000.0,281.48,120.23,64.0,0.9035,0.8206,132.69,73.92,0.00290571,0.00119809,54,55
Lassen,17,4541500.0,200000.0,170.45,106.88,80.0,0.9506,0.8902,110.94,32.53,0.00379977,0.00085144,51,56
Inyo,8,3808500.0,569250.0,327.27,63.12,45.0,0.9128,0.8959,63.62,30.25,0.00178813,0.00071402,56,57
Del Norte,1,2485000.0,2485000.0,390.91,320.0,320.0,1.0,0.7646,320.0,9.0,0.00022352,0.00046589,60,58
Alpine,1,1100000.0,1100000.0,267.12,231.0,231.0,0.8494,0.6667,231.0,32.0,0.00022352,0.00020623,60,59
Foreign Country,4,835000.0,225000.0,124.43,310.5,310.0,1.016,0.9732,316.75,14.25,0.00089406,0.00015655,58,60
Modoc,2,564000.0,282000.0,104.86,46.5,46.5,1.0,0.9857,50.5,41.5,0.00044703,0.00010574,59,61
Clark,1,375000.0,375000.0,285.61,2.0,2.0,0.974,0.974,2.0,9.0,0.00022352,7.03e-05,60,62
Sierra,1,255000.0,255000.0,222.9,1.0,1.0,0.9444,0.9444,47.0,38.0,0.00022352,4.781e-05,60,63
