PropertySubType,transaction_count,total_sales_volume,median_close_price,median_price_per_sqft,average_days_on_market,median_days_on_market,average_price_ratio,average_original_price_ratio,average_listing_to_contract_days,average_contract_to_close_days,transaction_share_pct,sales_volume_share_pct,transaction_count_rank,sales_volume_rank
SingleFamilyResidence,335138,434653844522.36,897500.0,533.33,36.1,17.0,1.061,56.8202,44.22,31.52,74.90874954,81.48887433,1,1
Condominium,73531,64425954025.24,627000.0,564.17,41.93,24.0,1.1724,24.0756,49.32,30.88,16.43536472,12.07857365,2,2
Townhouse,26228,26467359311.82,800000.0,560.9,32.27,17.0,1.1255,38.5563,38.53,30.98,5.86238112,4.96209879,3,3
Duplex,2480,3024327270.0,910000.0,542.02,42.58,21.0,0.99,393.4203,55.21,38.2,0.55432001,0.56700068,5,4
ManufacturedOnLand,5783,2031654730.74,320000.0,225.12,59.06,30.0,0.9737,1.2645,69.89,40.38,1.29259379,0.3808945,4,5
Missing/Unknown,861,846229383.0,800888.0,567.29,44.54,20.0,1.0019,0.9947,45.61,29.19,0.19244739,0.15865103,7,6
StockCooperative,1763,692930565.0,360000.0,396.21,38.39,20.0,0.989,1.5145,48.8,47.38,0.39405894,0.12991058,6,7
Triplex,373,492370341.0,1135000.0,473.95,55.72,29.0,0.9705,1.0209,67.69,44.69,0.08337152,0.09230956,9,8
Quadruplex,158,227698202.0,1262750.0,375.63,56.53,34.0,0.9571,1.0396,76.72,41.39,0.03531555,0.04268884,11,9
MixedUse,222,215126911.0,687500.0,433.95,85.73,52.5,0.9458,0.8884,97.95,47.45,0.04962058,0.04033198,10,10
Cabin,507,146995192.55,241000.0,287.93,79.41,46.0,0.9375,0.897,86.48,35.99,0.11332268,0.02755865,8,11
Farm,16,27756500.0,1500000.0,767.48,73.75,18.0,0.9775,0.9681,63.25,70.75,0.00357626,0.00520379,19,12
MobileHome,43,26263000.0,555000.0,656.8,80.58,64.0,0.9353,0.9055,91.86,12.19,0.00961119,0.00492379,15,13
OwnYourOwn,64,23064207.0,275000.0,508.27,65.34,41.0,0.9677,1.0748,73.33,34.81,0.01430503,0.00432408,13,14
BoatSlip,93,22048300.0,185000.0,1750.0,63.89,26.0,0.9459,0.9151,68.67,19.28,0.020787,0.00413361,12,15
Loft,31,21099788.89,650000.0,539.22,63.29,26.0,0.9954,0.985,69.13,39.35,0.006929,0.00395579,16,16
ManufacturedHome,50,16107714.0,295000.0,186.4,60.58,42.5,0.9686,0.9437,64.36,37.84,0.01117581,0.00301987,14,17
CoOwnership,19,14063499.0,410000.0,419.05,33.47,20.0,0.9718,53.6176,40.53,54.53,0.00424681,0.00263662,17,18
Timeshare,18,8205500.0,505000.0,187.64,69.94,58.0,0.9421,0.9088,75.22,28.56,0.00402329,0.00153837,18,19
Studio,11,3860490.0,322000.0,675.21,43.36,18.0,0.9663,0.9573,57.0,38.27,0.00245868,0.00072376,20,20
DeededParking,6,3455000.0,577500.0,348.41,21.33,12.0,1.004,0.8375,22.17,28.17,0.0013411,0.00064774,21,21
