top100_sales_volume_position,BuyerOfficeName,transaction_count,total_sales_volume,median_close_price,median_price_per_sqft,average_days_on_market,median_days_on_market,average_price_ratio,average_original_price_ratio,average_listing_to_contract_days,average_contract_to_close_days,transaction_share_pct,sales_volume_share_pct,transaction_count_rank,sales_volume_rank
1,Compass,29594,53960900436.51,1337750.0,752.31,32.0,14.0,1.0549,1.5501,37.75,27.2,6.61473642,10.11658608,1,1
2,Coldwell Banker Realty,16222,27794207791.16,1199000.0,688.7,34.71,16.0,1.1398,1.3757,41.89,27.5,3.6258787,5.21085626,2,2
3,Keller Williams Realty,6899,8617385564.92,840000.0,533.76,34.73,17.0,1.3032,1.69,43.2,30.03,1.5420378,1.61558688,5,4
4,Real Broker,6747,6902957042.0,801000.0,543.48,33.25,17.0,1.0179,1.1525,43.66,30.06,1.50806334,1.29416593,6,5
5,Berkshire Hathaway HomeServices California Properties,4509,6788483713.87,985000.0,611.27,39.47,21.0,0.9969,1.1945,47.56,29.79,1.00783424,1.27270448,10,6
6,First Team Real Estate,5661,6182638286.5,900000.0,598.62,31.02,14.0,1.008,173.3451,42.31,30.47,1.26532482,1.15912062,8,8
7,Intero Real Estate Services,3880,6146244118.0,1335000.0,812.55,25.06,12.0,1.0374,1.0264,25.33,26.44,0.86724259,1.15229745,11,9
8,The Agency,2746,6140777123.0,1550000.0,764.5,38.51,19.0,1.0066,0.9973,44.05,29.13,0.6137753,1.15127249,16,10
9,eXp Realty of California Inc,5693,5974111930.9,835000.0,570.83,37.0,19.0,1.1792,1.1701,43.98,30.96,1.27247734,1.12002611,7,11
10,"eXp Realty of California, Inc.",5055,4939233376.93,730000.0,495.05,34.15,18.0,1.2098,1.4217,43.8,30.7,1.12987405,0.92600715,9,12
11,Coldwell Banker West,2632,4822457388.0,807000.0,537.18,28.29,14.0,2.1272,2.3913,36.98,29.92,0.58829446,0.904114,17,13
12,Redfin,3190,4306914005.0,1165000.0,701.38,29.41,15.0,1.0247,1.5746,33.61,26.81,0.71301646,0.80745996,14,14
13,Redfin Corporation,3638,4163151824.05,845000.0,540.76,36.43,20.0,1.2789,1.4941,44.96,28.84,0.81315169,0.78050743,12,15
14,Sotheby's International Realty,2085,4121781447.85,1395000.0,761.04,47.61,22.0,0.9937,0.9762,51.71,28.33,0.46603114,0.77275132,19,16
15,None MRML,2872,3993668809.88,643312.0,353.29,54.18,35.0,1.3705,1.3792,64.59,55.92,0.64193833,0.74873277,15,17
16,Equity Union,3625,3837146030.83,844777.0,475.65,46.7,29.0,0.9888,498.0471,53.89,26.43,0.81024598,0.71938789,13,18
17,Pacific Sotheby's Int'l Realty,1325,3255904342.35,1600000.0,772.57,37.69,17.0,0.9924,0.9767,49.54,28.29,0.29615888,0.61041673,33,19
18,Berkshire Hathaway HomeService,1581,3152909317.6,1101000.0,654.02,35.89,17.0,1.6193,1.6313,46.61,31.44,0.35337901,0.59110723,28,20
19,Christie's International Real Estate Sereno,1537,3147263834.15,1620000.0,929.86,25.26,10.0,1.0322,1.0213,26.89,24.77,0.3435443,0.59004882,29,21
20,Pinnacle Real Estate Group,2363,3025495422.24,985000.0,563.85,32.65,16.0,1.0098,5.196,41.65,32.54,0.52816862,0.56721968,18,22
21,Carolwood Estates,531,2735716438.0,2949000.0,1051.5,45.36,24.0,0.9803,0.9669,48.78,30.15,0.11868707,0.51289194,100,23
22,"Pinnacle Estate Properties, Inc.",1711,2634240656.35,875000.0,509.32,40.19,24.0,1.5838,1.573,46.44,28.16,0.3824361,0.49386727,25,24
23,Realty One Group West,1425,2586261003.0,955000.0,623.08,33.47,15.0,1.7079,9.4024,45.55,33.11,0.31851049,0.48487204,31,25
24,COMPASS,1895,2539960957.94,1110000.0,679.86,32.35,15.0,1.0428,1.0526,41.35,27.51,0.42356307,0.47619171,22,26
25,Rodeo Realty,1621,2417174294.0,1010000.0,594.41,37.63,20.0,1.0038,1.0012,43.74,30.59,0.36231965,0.45317168,27,27
26,KW Advisors,1366,2220920619.0,1330000.0,837.28,26.19,13.0,1.0394,1.6102,27.98,25.61,0.30532304,0.41637805,32,28
