top100_sales_volume_position,ListOfficeName,transaction_count,total_sales_volume,median_close_price,median_price_per_sqft,average_days_on_market,median_days_on_market,average_price_ratio,average_original_price_ratio,average_listing_to_contract_days,average_contract_to_close_days,transaction_share_pct,sales_volume_share_pct,transaction_count_rank,sales_volume_rank
1,Compass,31705,58725452218.57,1350000.0,757.28,30.66,14.0,1.0552,1.129,36.0,27.84,7.08657897,11.00984394,1,1
2,Coldwell Banker Realty,20191,33547137498.65,1200000.0,694.14,34.53,16.0,1.1044,5.9358,41.9,27.17,4.51301423,6.28941514,2,2
3,Keller Williams Realty,8754,9049006448.49,875000.0,540.39,31.51,15.0,1.0084,1.5336,40.14,30.61,1.95666022,1.69650714,3,3
4,Berkshire Hathaway HomeServices California Properties,5812,8747603187.65,950000.0,599.04,41.66,23.0,0.9941,0.9802,48.87,29.75,1.29907576,1.64000007,5,4
5,Intero Real Estate Services,4810,7967221741.0,1379950.0,848.1,24.66,11.0,1.0429,3.3817,24.71,26.18,1.0751126,1.49369421,8,5
6,Coldwell Banker West,2874,7118247404.0,825000.0,543.06,28.28,15.0,3.0964,3.067,38.34,28.61,0.64238536,1.33452856,13,6
7,First Team Real Estate,6248,7045842214.87,961064.0,609.54,29.54,13.0,1.0056,97.3174,44.09,30.64,1.39652879,1.32095404,4,7
8,The Agency,2939,6818685318.0,1675000.0,804.94,35.42,17.0,1.0147,1.003,38.96,26.76,0.65691391,1.27836668,12,8
9,Real Broker,5170,5448711296.87,849950.0,558.49,29.42,15.0,1.0045,194.4217,40.85,30.09,1.1555784,1.02152404,7,9
10,Pacific Sotheby's Int'l Realty,1791,5370118884.6,1675000.0,789.06,39.03,18.0,1.5331,1.4997,50.42,28.93,0.40031739,1.00678954,25,10
11,eXp Realty of California Inc,5219,5114841658.4,790000.0,532.22,36.85,19.0,1.2007,1752.7847,45.55,32.43,1.16653069,0.95893018,6,11
12,Sotheby's International Realty,2578,4955354447.0,1400000.0,769.34,46.99,24.0,0.9903,0.9733,49.53,27.44,0.57622459,0.92902953,15,12
13,Equity Union,3928,4190008399.47,852500.0,475.65,44.6,28.0,0.9881,459.7265,51.93,26.16,0.87797137,0.7855425,9,13
14,Christie's International Real Estate Sereno,1990,4049632331.0,1630000.0,950.65,23.71,10.0,1.0347,1.0237,28.2,24.28,0.4447971,0.7592248,22,14
15,Seven Gables Real Estate,2193,3646918387.0,1055000.0,645.18,25.79,11.0,1.4695,1.4681,45.11,30.22,0.49017088,0.68372402,17,15
16,"eXp Realty of California, Inc.",3879,3612755232.3,757500.0,491.66,28.04,13.0,1.0078,1.0027,39.04,30.39,0.86701908,0.67731911,10,16
17,Berkshire Hathaway HomeService,2079,3550545072.0,1100000.0,636.94,37.21,17.0,1.4797,2.3059,49.48,30.89,0.46469004,0.66565596,18,17
18,Carolwood Estates,559,3205120513.0,3275000.0,1104.8,52.16,32.0,0.958,0.9413,53.48,33.18,0.12494552,0.60089578,94,18
19,Redfin,2038,3128033451.0,975000.0,656.03,26.21,15.0,1.5163,1.5046,27.62,26.83,0.45552588,0.58644351,19,19
20,COMPASS,2000,2907331166.6,1100000.0,653.95,31.77,16.0,1.0355,1.026,50.19,27.49,0.44703226,0.54506626,20,20
21,Rodeo Realty,1992,2710687441.1,1034250.0,601.69,37.39,20.0,1.0013,1.9483,41.86,30.58,0.44524414,0.5081995,21,21
22,Century 21 Masters,3683,2586042872.0,628000.0,360.64,37.06,21.0,1.0062,258.0139,46.79,38.36,0.82320992,0.48483115,11,22
23,"Pinnacle Estate Properties, Inc.",2401,2531356052.25,900000.0,516.13,36.0,24.0,1.0021,1.0051,40.17,26.32,0.53666223,0.47457847,16,23
24,Redfin Corporation,2755,2506408023.5,790000.0,517.45,31.89,18.0,0.9996,0.9873,34.62,29.68,0.61578694,0.46990121,14,24
25,KW Advisors,1351,2240864299.0,1365000.0,880.35,24.41,13.0,1.0625,1.0524,25.2,26.02,0.30197029,0.42011709,28,25
26,"Douglas Elliman of California, Inc.",767,2086278929.67,1485000.0,805.01,41.65,22.0,0.9893,0.9829,45.15,28.25,0.17143687,0.39113544,64,26
27,Pinnacle Real Estate Group,1540,1950074023.0,968000.0,565.2,37.19,21.0,1.0157,13.7197,46.69,32.01,0.34421484,0.36559975,27,27
28,The Beverly Hills Estates,368,1857633600.0,2750000.0,985.22,59.61,41.5,0.96,0.9422,61.42,18.89,0.08225394,0.34826903,153,28
29,Golden Gate Sotheby's International Realty,718,1841035286.0,2037500.0,1111.65,25.16,12.0,1.0337,1.0216,25.11,24.2,0.16048458,0.34515717,70,29
30,Bennion Deville Homes,1845,1744433396.25,699000.0,371.32,67.47,51.0,0.9666,1.9674,76.81,17.7,0.41238726,0.32704626,24,30
31,Estate Properties,1115,1719382227.79,1275000.0,751.62,36.24,15.0,0.9966,0.9971,44.9,32.05,0.24922049,0.32234967,37,31
32,Christie's International Real Estate SoCal,490,1709354805.0,2100000.0,914.22,52.43,29.0,0.9753,0.9571,54.56,29.74,0.1095229,0.32046973,113,32
33,Real Brokerage Technologies,1634,1654991980.0,765000.0,477.79,33.33,16.0,1.0099,0.9984,42.19,29.29,0.36522536,0.31027779,26,33
34,HomeSmart Realty West,1219,1630893360.0,807000.0,518.81,35.14,19.0,1.7922,1.7762,44.56,31.57,0.27246617,0.30575978,34,34
35,Realty One Group West,1315,1619878464.0,1006000.0,645.38,32.56,15.0,0.9966,1.0074,45.32,30.9,0.29392371,0.30369471,29,35
36,RE/MAX Connections,726,1567351862.0,910000.0,581.99,27.73,13.0,2.3775,2.3135,33.05,27.82,0.16227271,0.29384702,69,36
37,Allison James Estates & Homes,1029,1532393858.0,715000.0,382.95,41.74,22.0,1.962,3.756,53.93,32.79,0.2299981,0.2872931,45,37
38,Douglas Elliman,602,1500636503.0,1700000.0,853.08,43.19,24.5,0.9912,0.9743,44.44,28.88,0.13455671,0.28133923,86,38
39,Coldwell Banker Country Realty,53,1430453700.0,955000.0,409.69,22.26,16.0,38.3577,37.4032,36.47,41.58,0.01184636,0.26818137,1074,39
40,"HomeSmart, Evergreen Realty",1309,1419196580.0,916000.0,595.97,30.84,15.0,1.0019,1.0151,39.53,31.46,0.29258262,0.26607088,30,40
41,Coldwell Banker,1038,1414877132.0,1197000.0,638.36,25.19,12.0,1.0091,0.9949,26.55,25.21,0.23200975,0.26526107,43,41
42,Keller Williams Tri-Valley,1021,1403584111.0,1200000.0,688.98,19.84,9.0,1.0212,1.0119,20.64,25.61,0.22820997,0.26314386,46,42
43,Vista Sotheby’s International Realty,635,1378655889.0,1795000.0,906.25,29.51,13.0,0.999,0.9847,44.48,32.19,0.14193274,0.25847032,81,43
44,Keller Williams Realty Irvine,774,1273790834.0,1322500.0,711.58,28.16,15.0,1.0074,0.9987,36.5,28.33,0.17300149,0.23881022,62,44
45,KW Advisors East Bay,1086,1256427503.0,987500.0,638.96,28.12,15.0,1.1022,1.0947,29.23,24.08,0.24273852,0.23555495,39,45
46,LPT Realty,437,1249399641.0,710000.0,424.44,36.3,18.0,3.2523,3.2384,43.85,29.87,0.09767655,0.23423736,124,46
47,T.N.G. Real Estate Consultants,1235,1241161375.23,910000.0,579.4,26.5,11.0,1.0108,1.015,39.09,31.94,0.27604242,0.23269285,33,47
48,Pinnacle Estate Properties,1076,1221122663.0,965000.0,528.14,31.33,16.0,1.0019,1.8496,36.93,35.52,0.24050336,0.228936,41,48
49,Red Oak Realty,1033,1209976606.0,1100000.0,720.0,21.28,14.0,1.1856,1.1781,21.69,20.26,0.23089216,0.22684633,44,49
50,"eXp Realty of Southern California, Inc.",1250,1206989540.0,780000.0,530.67,27.88,15.0,1.0004,0.9913,34.73,29.32,0.27939517,0.22628632,32,50
51,"eXp Realty of California, Inc",1018,1182201351.99,875000.0,555.77,28.82,14.0,1.0019,0.9912,47.75,31.71,0.22753942,0.22163903,47,51
52,KW Bay Area Estates,656,1161562131.0,1565000.0,920.31,21.11,9.0,1.0411,1.0299,20.62,23.82,0.14662658,0.21776959,76,52
53,D R Horton America's Builder,1879,1139456253.0,593170.0,290.63,35.6,26.0,1.0052,1.3081,42.01,45.92,0.41998681,0.21362518,23,53
54,RE/MAX One,1050,1128403075.0,899900.0,534.1,31.7,17.0,0.9987,2.0792,37.06,32.33,0.23469194,0.21155293,42,54
55,Barry Estates,177,1088647570.0,5285000.0,1018.99,52.91,35.0,0.9532,0.9283,60.05,29.42,0.03956236,0.20409958,352,55
56,RE/MAX of Santa Clarita,1168,1074976345.0,850000.0,437.11,30.97,16.0,1.0007,0.9984,41.68,32.68,0.26106684,0.20153649,36,56
57,RE/MAX Accord,1013,1046640993.0,810000.0,557.38,30.01,15.0,1.1043,1.0882,31.28,25.93,0.22642184,0.19622418,48,57
58,Century 21 Affiliated,1181,1040359861.0,806000.0,530.04,27.22,13.0,1.0,0.9912,36.26,30.51,0.26397255,0.1950466,35,58
59,Dudum Real Estate Group,826,1036677728.0,1026500.0,605.2,21.38,11.0,1.0244,1.0152,21.97,23.63,0.18462433,0.19435627,58,59
60,ROA California Inc,359,1029358394.0,750000.0,490.12,30.6,16.0,3.8088,3.7419,44.06,31.22,0.08024229,0.19298404,160,60
61,Keller Williams Beverly Hills,639,1002916441.0,1237000.0,715.02,41.55,22.0,1.0001,0.983,43.56,32.35,0.14282681,0.18802671,80,61
62,Willis Allen Real Estate,532,974920449.0,1377500.0,780.52,31.96,13.0,0.9876,0.9739,45.85,30.06,0.11891058,0.18277802,105,62
63,Cali Real Estate Professionals,4,971690000.0,585000.0,238.15,71.5,70.0,249.5187,243.5019,71.5,36.25,0.00089406,0.18217238,7515,63
64,Deleon Realty,197,968318407.0,4150000.0,1693.85,24.15,9.0,1.0616,1.0564,22.98,23.01,0.04403268,0.18154027,319,64
65,The GRUBB Company,533,925088095.0,1450000.0,763.8,18.77,12.0,1.215,1.2139,19.67,20.14,0.1191341,0.17343546,103,65
66,Arbor Real Estate,258,902293599.0,2317500.0,1146.35,31.3,12.5,0.9904,0.9763,35.62,27.37,0.05766716,0.16916194,243,66
67,Re/Max Golden Empire Realty,2,900435000.0,450217500.0,41000.79,134.0,134.0,29.5266,29.5266,152.0,62.5,0.00044703,0.16881349,10564,67
68,Corcoran Icon Properties,807,900354822.0,870000.0,528.21,31.94,16.0,1.0274,1.0167,33.55,26.76,0.18037752,0.16879846,60,68
69,Regency Real Estate Brokers,747,889346319.0,1070000.0,636.75,28.15,12.0,0.9977,0.9806,41.02,29.94,0.16696655,0.16673459,67,69
70,Vista Sotheby's International Realty,551,874562569.5,1085000.0,623.1,41.26,20.0,0.9918,2.3812,52.58,34.23,0.12315739,0.16396293,96,70
71,eXp Realty of California,873,868834355.0,820000.0,581.2,29.52,16.0,1.0281,1.0163,32.79,26.1,0.19512958,0.16288901,55,71
72,Re/Max Accord,708,861490295.0,1077500.0,665.07,24.88,14.0,1.0139,1.0038,26.11,25.12,0.15824942,0.16151214,72,72
73,Legacy Real Estate & Assoc.,642,859943248.0,1240000.0,771.34,20.19,10.0,1.0334,1.0232,21.05,25.39,0.14349736,0.1612221,79,73
74,Pacific Sotheby's International Realty,418,853074676.0,1387500.0,722.15,38.23,16.0,0.9853,0.9705,43.3,29.53,0.09342974,0.15993438,131,74
75,Westside Estate Agency Inc.,94,835542500.0,3216000.0,1018.52,59.81,34.5,0.9445,0.9206,60.42,21.78,0.02101052,0.15664745,646,75
76,Success Realty & Mortgage,1,820000000.0,820000000.0,684474.12,6.0,6.0,1012.3457,1012.3457,7.0,15.0,0.00022352,0.15373355,13484,76
77,RE/MAX Gold Coast REALTORS,900,818239578.86,815000.0,505.21,35.9,22.0,0.995,1.013,49.4,28.44,0.20116452,0.1534035,52,77
